Element,METALLOGENIC PROVINCE,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,METALLOGENESIS,LATDD,LONDD
Aluminum,EAST COAST PROVINCE,ARAKU,ORISSA,65 J,18 16-18 22N,82 56-82 59E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,KARNAPODIKONDA,ANDHRA PRADESH,65 N,18 48N,83 05E,Bauxite,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,SIJIMALI,ORISSA,65 M,19 30N,83 08E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,PANCHPATMALI,ORISSA,65 J & N,18 46-18 55N,82 57-83 04E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,ANAMINI,ORISSA,65 M,19 51N,83 40E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,BOPHLIMATTI,ORISSA,65 I,19 18-19 22N,82 57-82 59E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,DUMKONDA,ANDHRA PRADESH,65 G,17 42-17 46N,81 51-81 57E,Bauxite,CAPPINGS ON SILLIMANITE GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,GANDHAMADAN,ORISSA,64 L,20 50-20 55N,82 30-82 45E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,GUDEM,ORISSA,65 J,17 48-17 51N,82 08-82 10E,Bauxite,CAPPINGS ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,GURLIDU,ANDHRA PRADESH,65 G,17 50-17 52N,81 53-81 55E,Bauxite,CAPPING ON SILLIMANITE GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,KARLAPAT,ORISSA,65 I,19 37-19 41N,83 09-83 11E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,KATHAKHAL-MANJIMLI,ORISSA,65 M,19 25N,83 06E,Bauxite,CAPPING ON CHARNOKITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,KISANWALI,ORISSA,65 M,19 40N,83 05E,Bauxite,CAPPING ON KHONDALITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,KODINGAMALI,ORISSA,65 M,19 04N,83 05E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,MALIPARBAT,ORISSA,65 J,18 40N,82 55E,Bauxite,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,POTANGI,ORISSA,65 J,18 34-18 36N,82 56-82 58E,Bauxite,CAPPING ON GRANULITE/GNEISS,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,EAST COAST PROVINCE,SASBOHUMALI-PASANGMALI,ORISSA,65 M,19 15-19 20N,83 08-83 15E,Bauxite,CAPPING ON KHONDALITE,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,KUTCH BELT,ABDASA,GUJARAT,41 E,23 50N,69 12E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,EASTERN GHAT Sgp.,,,
Aluminum,KUTCH BELT,DEBAN,GUJARAT,41 E,23 20N,69 05E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,KUTCH BELT,GONIASAR,GUJARAT,41 F,22 58N,69 25E,Bauxite,CAPPING ON MADH FORMATION,RESIDUAL DEPOSIT,MADH Fm.,,,
Aluminum,KUTCH BELT,HAMLA,GUJARAT,41 E,23 16N,69 21E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,KUTCH BELT,KHANAI,GUJARAT,41 E,23 20N,69 04E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,KUTCH BELT,KONTANDA,GUJARAT,41 E,23 09N,69 14E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,KUTCH BELT,LAKEND,GUJARAT,41 E,23 15N,69 48E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,KUTCH BELT,NANGRECHA,GUJARAT,41 E,23 01N,69 12E,Bauxite,CAPPING ON MESO-CENOZOIC COVERS,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,MUNGER BELT,KHARGPUR,JHARKHAND,72 L,24 10N,86 27E,Bauxite,CAPPING ON SCHIST,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,PALAMOU-RANCHI PROVINCE,CHANDIPAT,JHARKHAND,73 A,23 18N,84 11E,Bauxite,LATERITE CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,PALAMOU-RANCHI PROVINCE,CHIRO,JHARKHAND,73 A,23 27N,84 15E,Bauxite,CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,PALAMOU-RANCHI PROVINCE,KUKUD,CHATTISGARH,73 A,23 29N,84 00E,Bauxite,CAPPING ON GNEISSES,RESIDUAL DEPOSIT,LATERITE ON CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,PALAMOU-RANCHI PROVINCE,ORSAPAT,JHARKHAND,73 A,23 23N,84 29E,Bauxite,CAPPING ON SCHIST/GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,PALAMOU-RANCHI PROVINCE,TAMOLGARH,CHATTISGARH,73 A,23 32N,84 03E,Bauxite,CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,RANCHI PLATEAU PROVINCE,BARKADIH-GHARGHUTA,CHATTISGARH,73 A,23 00N,84 10E,Bauxite,LATERITE CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,RANCHI PLATEAU PROVINCE,BHAGLATOLI,JHARKHAND,73 A,23 12N,84 16E,Bauxite,LATERITE CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,RANCHI PLATEAU PROVINCE,BIRHNI-GARKHASWAR-AGARDIH,CHATTISGARH,64 M,23 32N,83 33E,Bauxite,CAPPING ON LATERITE OVER DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP ON CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,RANCHI PLATEAU PROVINCE,CHIROPATTOLI,JHARKHAND,73 A,23 24N,84 29E,Bauxite,LATERITE CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,RANCHI PLATEAU PROVINCE,LOKIPAT,CHATTISGARH,73 A,23 03N,84 07E,Bauxite,LATERITE,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,RANCHI-ADAR PARE PLATEAU,AMPTIPANI,JHARKHAND,73 A,23 22N,84 17E,Bauxite,CAPPING ON SCHIST AND GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,RANCHI-ADAR PARE PLATEAU,BANGROBAR,JHARKHAND,73 A,23 35N,84 35E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,RANCHI-ADAR PARE PLATEAU,BOGRU,JHARKHAND,73 A,23 24N,84 36E,Bauxite,LATERITE ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,RANCHI-ADAR PARE PLATEAU,GHUGROTOLLI,JHARKHAND,73 A,23 18N,84 25E,Bauxite,CAPPING ON GNEISSES,RESIDUAL DEPOSIT,CHOTANAGPUR GNEISSIC COMPLEX,,,
Aluminum,AMARKANTAK PLATEAU,AMARKANTAK,MADHYA PRADESH,64 F,22 44N,81 42E,Bauxite,DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,GRANULITE TERRAIN,CHITTAVATTAM,KERALA,58 D,08 59N,76 40E,Bauxite,CAPPING ON GRANULITE/GNEISSES,RESIDUAL DEPOSIT,SOUTHERN GRANULITE,,,
Aluminum,DECCAN TRAP PROVINCE,DANDGIRI-KONDIVALI,MAHARASTRA,47 F,18 07N,73 01E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,DECCAN TRAP PROVINCE,DHANGARWADI,MAHARASTRA,47 H,16 55N,73 53E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,GRANULITE TERRAIN,KUVEL,KARNATAKA,48 P,12 39N,75 07E,Bauxite,CAPPING ON GRANULITE,RESIDUAL DEPOSIT,SOUTHERN GRANULITE,,,
Aluminum,DECCAN TRAP PROVINCE,MALWA,MAHARASTRA,47 H,16 26N,73 57E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,GRANULITE TERRAIN,PALNI,TAMILNADU,58 F,10 09-10 47N,77 19-77 24E,Bauxite,CAPPING ON GRANULITE,RESIDUAL DEPOSIT,SOUTHERN GRANULITE,,,
Aluminum,DECCAN TRAP PROVINCE,RADHANAGIRI,MAHARASTRA,47 H,16 24N,73 50E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Aluminum,DECCAN TRAP PROVINCE,UDGIRI,MAHARASTRA,47 G,17 08N,73 48E,Bauxite,CAPPING ON DECCAN TRAP,RESIDUAL DEPOSIT,DECCAN TRAP,,,
Baryte,,RELPATALIYA,RAJASTHAN,45 H,24 24N,73 51E,Baryte,GNEISSES FLANKED BY METABASICS,"MASSIVE BAND,VEINS",ARAVALLI,ARAVALLI BELT,,
Baryte,,CHIMALAPENTA,ANDHRA PRADESH,57 J,14 25N,78 35E,Baryte,"SHEARS WITHIN DOLOMITE,LIMESTONE,TRAP",LENSE ALONG SHEAR,NALLAMALAI Gp(CUDDAPAH Sgp.),CUDDAPAH BASIN,,
Baryte,,MANGAMPETA,ANDHRA PRADESH,57 N,14 00N,79 19E,Baryte,CARBONACEOUS HORIZON OF PULLAMPET TUFF,STRATIFORM-BEDDED,CUMBUM(CUDDAPAH),CUDDAPAH BASIN,,
Baryte,,VEMULA,ANDHRA PRADESH,57 J,14 20N,78 15E,Baryte,FRACTURED TRAP ROCK,VEIN TYPE DEPOSIT,CHITRAVATI Gp.,CUDDAPAH BASIN,,
Baryte,,JAMRAULI,RAJASTHAN,54 A,27 05N,76 40E,Baryte,QUARTZITE,"FISSURE,VEINS",ALWAR Gp.,DELHI FOLD BELT,,
Baryte,,GHATTIHOSAHALLI,KARNATAKA,57 C,13 59N,76 17E,Baryte,"FUCHSITE QUARTZITE,AMPHIBOLITE",BEDDED,BABABUDAN(DHARWAR).,GHATTIHOSAHALLI BELT,,
Baryte,,SUKWARI,MADHYA PRADESH,63 H,24 20N,81 50E,Baryte,"TALC-CHLORITE SCHIST,METADOLERITE","VEINS,FRACTURE FILLING",MAHAKOSHAL Gp.,MAHAKOSHAL BELT,,
Diamond,,BEJRIPADAR,CHATTISGARH,65 E,19 03N,81 51E,Diamond,KIMBERLITE,MAGMATIC DIFFERENTIATION,INDRAVATI Gp.,BASTAR KIMBERLITE FIELD,,
Diamond,,DUSANPAL,CHATTISGARH,65 E,19 01N,81 51E,Diamond,KIMBERLITE,MAGMATIC DIFFERENTIATION,INDRAVATI Gp.,BASTAR KIMBERLITE FIELD,,
Diamond,,PARAKOT,CHATTISGARH,65 E,19 02N,81 54E,Diamond,KIMBERLITE,MAGMATIC DIFFERENTIATION,INDRAVATI Gp.,BASTAR KIMBERLITE FIELD,,
Diamond,,CHELIMA,ANDHRA PRADESH,57 I,15 26N,78 42E,Diamond,KIMBERLITE DIATREME,MAGMATIC DIFFERENTIATION,KUMBUM FORMATION,CHELIMA-ZANGAMARAJUPALLE BELT,,
Diamond,,ZANGAMARAJUPALLE,ANDHRA PRADESH,57 J,14 46N,78 53E,Diamond,KIMBERLITE DIATREME,MAGMATIC DIFFERENTIATION,KUMBUM FORMATION,CHELIMA-ZANGAMARAJUPALLE BELT,,
Diamond,,KRISHNA,ANDHRA PRADESH,65 D,16 45-17 00N,80 00-80 15E,Diamond,LAMPROITE,MAGMATIC DIFFERENTIATION,CUDDAPAH Sgp.,KRISHNA LAMPROIITE FIELD,,
Diamond,,MADDUR-KOTAKONDA,ANDHRA PRADESH,56 H,16 46-16 51N,77 38-77 42E,Diamond,KIMBERLITE,PIPE,PENINSULAR GNEISSIC COMPLEX,MADDUR-KOTAKONDA BELT,,
Diamond,,PANNA-MAJHGAWAN-HINOTA,MADHYA PRADESH,63 D,24 46N,80 15E,Diamond,KIMBERLITE DIATREME,MAGMATIC DIFFERENTIATION,VINDHYAN Sgp.,PANNA Di (Diamond) BELT,,
Diamond,,BAHARADIH,CHATTISGARH,64 L,20 13 30N,82 12 13E,Diamond,KIMBERLITE DIATREME,PIPE,KIMBERLITE IN CHATTISGARH,SOUTH RAIPUR KIMBERLITE BELT,,
Diamond,,KADOMALI,CHATTISGARH,64 L,20 11 35N,82 15E,Diamond,KIMBERLITE DIATREME,PIPE,KIMBERLITE IN CHATTISGARH,SOUTH RAIPUR KIMBERLITE BELT,,
Diamond,,PAYALIKHAND,CHATTISGARH,64 L,20 09 45N,82 00 20E,Diamond,PLACER,PLACER,PLACER,SOUTH RAIPUR KIMBERLITE BELT,,
Diamond,,WAJRAKARUR,ANDHRA PRADESH,"57 E , F",14 05-15 02N,77 18-77 23E,Diamond,"GARNET PERIDOTITE, ECLOGITE,PYROXENITE",MAGMATIC DIFFERENTIATION,KIMBERLITE PIPE,WAJRAKARUR-LATTAVARAM-CHIGICHERLA BELT,,
